,package,version,update_date,depends,makedepends,checkdepends,opt_depends
903,dnscrypt-proxy,2.0.11,2018-04-27T21:24:59.613Z,glibc,git go-pie,,
904,dnscrypt-wrapper,0.4.1,2018-02-27T09:44:50.576Z,libevent libsodium,,,
905,dns-lexicon,2.2.2,2018-05-03T01:59:59.318Z,python-future python-requests python-setuptools python-tldextract,,python-boto3 python-pynamecheap python-pytest-runner python-softlayer python-vcrpy,python-boto3: for Route53 support python-pynamecheap: for Namecheap support python-softlayer: for SoftLayer support
906,dnsmasq,2.79,2018-03-19T07:51:10.208Z,glibc gmp libdbus libidn libnetfilter_conntrack nettle,,,
907,dnssec-anchors,20170711,2017-07-19T20:54:26.570Z,,unbound,,
908,dnssec-tools,2.2,2017-09-02T11:58:02.398Z,bind dnsutils glibc openssl-1.0 perl<5.27 perl perl>=5.26 perl-mailtools perl-net-dns perl-net-dns-sec perl-timedate pth,,,perl-graphviz: for GUI components perl-tk: for GUI components
909,dnstracer,1.9,2014-07-01T06:36:16.071Z,,,,
910,docbook2x,0.8.8,2016-04-27T23:27:36.079Z,glibc jade libxslt perl-sgmls perl-xml-parser perl-xml-sax perl-xml-sax-expat,texinfo,,
911,docbook-dsssl,1.79,2016-04-06T18:11:32.795Z,perl sgml-common,,,
912,docbook-mathml,1.1CR1,2014-06-30T16:20:51.622Z,libxml2,,,
913,docbook-sgml,4.5,2016-04-13T20:23:58.638Z,sgml-common,,,
914,docbook-sgml31,3.1,2016-04-13T20:24:00.074Z,sgml-common,,,
915,docbook-utils,0.6.14,2016-06-22T14:30:57.704Z,docbook-dsssl docbook-sgml31 openjade,perl-sgmls,,perl-sgmls: for conversion to man and texinfo
916,docbook-xml,4.5,2014-07-01T16:03:04.666Z,libxml2,,,
917,docbook-xsl,1.79.2,2017-11-16T07:03:31.958Z,docbook-xml libxml2 libxslt sed,,,
918,docker,18.04.0,2018-04-17T23:02:39.831Z,bridge-utils device-mapper glibc iproute2 libseccomp libsystemd libtool sqlite,btrfs-progs cmake git go systemd,,btrfs-progs: btrfs backend support lxc: lxc backend support
919,docker-compose,1.21.2,2018-05-03T12:25:01.447Z,docker python-cached-property python-docker python-dockerpty python-docopt python-jsonschema python-requests python-setuptools python-six python-texttable python-websocket-client python-yaml,,python-mock python-pytest-runner,
920,docker-machine,0.14.0,2018-03-07T06:18:09.017Z,glibc,go-pie,,net-tools: required for VirtualBox driver
921,docky,2.2.1.1,2017-02-11T02:07:21.956Z,gconf-sharp gkeyfile-sharp gnome-keyring-sharp librsvg libwnck mono-addins notify-sharp,gio-sharp intltool,,
922,docx2txt,1.4,2017-05-30T22:56:22.538Z,perl unzip,,,
923,doge,3.5.0,2017-01-06T08:11:28.389Z,python,,,
924,dokuwiki,20180422,2018-04-25T11:48:18.424Z,php,,,
925,dolphin,18.04.0,2018-04-29T17:58:19.545Z,baloo-widgets kcmutils kinit kio-extras knewstuff kparts kuiserver,extra-cmake-modules kdoctools,,ffmpegthumbs: video thumbnails kde-cli-tools: for editing file type options kdegraphics-thumbnailers: PDF and PS thumbnails konsole: terminal panel ruby: installing new service menus from KDE Store
926,dolphin-emu,5.0.r6362.c08f6f0c53,2018-04-11T19:20:16.398Z,alsa-lib bluez-libs cairo enet gcc-libs gdk-pixbuf2 glib2 glibc gtk2 hidapi libavcodec.so=57-64 libavformat.so=57-64 libavutil.so=55-64 libcurl.so=4-64 libevdev libgl libminiupnpc.so=17-64 libpng libpulse libsm libswscale.so=4-64 libudev.so=1-64 libusb-1.0.so=0-64 libx11 libxi libxrandr libxxf86vm lzo mbedtls pango sfml zlib,cmake git,,pulseaudio: PulseAudio backend
927,dolphin-plugins,18.04.0,2018-04-21T13:54:41.774Z,dolphin kdelibs4support,extra-cmake-modules kdesignerplugin kdoctools ktexteditor,,ktexteditor: Mercurial plugin
928,dopewars,1.5.12,2015-09-17T21:02:53.364Z,alsa-lib audiofile gtk2 ncurses sdl_mixer,,,
929,dos2unix,7.4.0,2017-10-23T18:33:00.881Z,glibc,perl,,
930,dosbox,0.74,2015-12-10T04:58:40.528Z,alsa-lib gcc-libs glu libgl libpng sdl_net sdl_sound zlib,gendesk mesa-libgl,,
931,dosemu,1.4.git20151102,2015-11-02T17:26:50.904Z,gpm libsndfile libxxf86vm sdl slang,gendesk git imagemagick xorg-bdftopcf xorg-mkfontdir,,
932,dosfstools,4.1,2017-03-17T08:06:53.328Z,glibc,,,
933,dot2tex,2.9.0,2017-07-16T19:17:09.904Z,graphviz python2-pyparsing,,,
934,dotconf,1.3,2013-10-27T18:33:24.324Z,glibc,,,
935,dotnet-host,2.0.7,2018-04-26T08:13:34.655Z,gcc-libs glibc,,,
936,dotnet-runtime,2.0.7,2018-04-26T08:13:34.678Z,dotnet-host gcc-libs glibc icu krb5 libcurl.so=4-64 libunwind libuuid.so=1-64 lldb lttng-ust openssl-1.0 zlib,,,
937,dotnet-sdk,2.1.105,2018-04-26T08:13:34.435Z,dotnet-runtime,,,
938,doublecmd-gtk2,0.8.2,2018-02-25T08:45:29.025Z,desktop-file-utils gtk2 hicolor-icon-theme shared-mime-info,gtk2 lazarus qt5pas,,libunrar: support for rar archives lua51: scripting p7zip: support for 7zip archives unzip: support extracting zip archives zip: suport packing zip archives
939,doublecmd-qt5,0.8.2,2018-02-25T08:45:29.132Z,desktop-file-utils hicolor-icon-theme qt5pas shared-mime-info,gtk2 lazarus qt5pas,,libunrar: support for rar archives lua51: scripting p7zip: support for 7zip archives unzip: support extracting zip archives zip: suport packing zip archives
940,double-conversion,3.0.0,2017-08-19T19:52:21.549Z,gcc-libs,cmake,,
941,dovecot,2.3.1,2018-03-29T22:10:13.405Z,bzip2 curl expat krb5 libmariadbclient libsodium lz4 openssl pam postgresql-libs sqlite,clucene libcap libldap libsodium,,clucene: alternative FTS indexer libldap: ldap plugin xz: imap zlib plugin
942,doxygen,1.8.14,2018-01-18T21:05:04.575Z,gcc-libs,cmake flex gcc-libs ghostscript graphviz python2 qt5-base texlive-core texlive-latexextra,,graphviz: for caller/callee graph generation qt5-base: for doxywizard
943,doxygen-docs,1.8.14,2018-01-18T21:05:04.430Z,,cmake flex gcc-libs ghostscript graphviz python2 qt5-base texlive-core texlive-latexextra,,
944,dpf-plugins,1.1,2018-04-05T19:43:35.277Z,liblo projectm,lv2,,
945,dragon,18.04.0,2018-04-21T13:54:41.904Z,hicolor-icon-theme kparts,extra-cmake-modules kdoctools,,
946,drbd-utils,8.9.10,2017-01-14T17:24:18.745Z,bash perl,libxslt systemd,,
947,drbl,2.25.10,2018-04-11T20:58:16.134Z,bc perl,vim,,
948,driconf,0.9.1,2018-01-14T21:19:58.080Z,mesa-demos pygtk xorg-xdriinfo,,,
949,drkonqi,5.12.5,2018-05-01T17:09:02.905Z,gdb kidletime kxmlrpcclient,extra-cmake-modules,,
950,dropbear,2018.76,2018-03-08T11:41:51.972Z,,,,
951,drumgizmo,0.9.14,2018-02-06T21:55:41.943Z,expat jack libsmf libxext zita-resampler,lv2,,
952,drumkv1,0.9.0,2018-03-07T20:17:24.076Z,desktop-file-utils hicolor-icon-theme jack liblo lv2 qt5-base shared-mime-info,qt5-tools,,
953,drumstick,1.1.1,2018-03-14T19:27:20.861Z,fluidsynth qt5-svg,cmake docbook-xsl doxygen,,
954,drupal,8.5.3,2018-04-26T11:14:33.622Z,php php-gd,,,
955,dscanner,0.5.2,2018-04-26T18:18:40.477Z,liblphobos,git ldc,,
956,dsdp,5.8,2017-07-11T13:36:48.205Z,blas lapack,,,
957,dsniff,2.4b1,2018-05-01T22:42:40.080Z,glib2 glibc libnet libnids libpcap libtirpc libxmu openssl,rpcsvc-proto,,
958,dssi,1.1.1,2018-02-06T17:10:52.690Z,jack liblo>=0.28,ladspa qt4,,qt4: example plugins
959,dstat,0.7.3,2016-03-20T13:23:18.221Z,python2,,,
960,d-stdx-allocator,2.77.1.1,2018-04-05T07:03:18.228Z,libphobos,dmd meson,,
961,dtach,0.9,2017-08-08T18:36:50.770Z,glibc,,,
962,dtc,1.4.6,2018-01-25T05:14:15.286Z,,python2 swig,,
963,dtkcore,2.0.8,2018-05-04T15:08:47.456Z,gsettings-qt qt5-base,qt5-tools,,
964,dtkwidget,2.0.8,2018-05-04T15:08:47.498Z,deepin-qt-dbus-factory dtkcore librsvg qt5-multimedia qt5-svg qt5-x11extras startup-notification,qt5-tools,,
965,dtkwm,2.0.8,2018-05-04T15:08:47.418Z,dtkcore qt5-x11extras,qt5-tools,,
966,dtools,2.080.0,2018-05-03T03:52:56.855Z,curl,dmd libphobos,,
967,dub,1.9.0,2018-05-03T03:52:56.836Z,curl liblphobos,ldc,,
968,duktape,2.2.1,2018-04-29T10:52:01.408Z,,setconf,,
969,dumb,2.0.3,2018-02-03T13:15:47.728Z,,allegro allegro4 cmake ninja,,
970,dumb-a4,2.0.3,2018-02-03T13:15:47.695Z,allegro4,allegro allegro4 cmake ninja,,
971,dune,1.0b19.1,2018-03-29T13:31:57.729Z,glibc ocaml ocaml-findlib opam,,,
972,dunst,1.3.1,2018-02-16T17:06:35.030Z,gdk-pixbuf2 libnotify libxdg-basedir libxinerama libxrandr libxss pango,,,
973,duplicity,0.7.17,2018-03-24T19:45:39.462Z,gnupg librsync ncftp python2-fasteners python2-paramiko,python2-setuptools,,gvfs: GIO backend lftp: FTPS backend python2-boto: Amazon S3 and Google Cloud Storage backend python2-dropbox: Dropbox backend python2-gdata: Google Docs backend python2-gobject: GIO backend python2-requests-oauthlib: OneDrive backend rsync: rsync backend
974,dvdauthor,0.7.2,2018-01-27T11:18:10.288Z,libdvdread libmagick libxml2,imagemagick,,
975,dvdbackup,0.4.2,2013-08-10T16:47:33.147Z,libdvdread,,,libdvdcss: to decrypt encrypted DVDs
976,dvdisaster,0.79.5,2017-09-06T20:29:13.879Z,gtk2,,,
977,dvd+rw-tools,7.1,2015-12-10T05:37:03.020Z,cdrkit gcc-libs,,,
978,dvgrab,3.5,2017-06-27T17:30:25.015Z,gcc-libs libavc1394 libdv libiec61883 libjpeg-turbo libquicktime,git,,
979,dvtm,0.15,2017-02-16T11:25:48.688Z,ncurses,,,
980,dwarffortress,0.44.09,2018-04-01T23:33:53.396Z,gcc-libs glew glib2 glu gtk2 libsndfile openal sdl_image sdl_ttf,cmake git,,alsa-lib: for alsa sound libpulse: for pulse sound nvidia-utils: If you have nvidia graphics
981,dwdiff,2.1.1,2018-03-29T22:10:13.505Z,diffutils icu,,,
982,dzen2,0.9.5.14.488ab66,2017-12-18T00:05:56.085Z,libx11 libxft libxinerama libxpm,git,,
983,e2fsprogs,1.44.1,2018-03-28T08:21:39.976Z,libutil-linux sh,util-linux,,
984,e3,2.82,2016-11-06T13:16:09.586Z,,nasm setconf yasm,,
985,easy-rsa,3.0.4,2018-01-22T20:49:27.797Z,openssl sh,,,
986,easystroke,0.6.0,2018-01-06T19:46:01.141Z,boost-libs dbus-glib gtkmm3 libxtst xorg-server,boost gettext help2man inputproto intltool xorg-server-devel,,
987,easytag,2.4.3,2017-02-12T10:00:48.078Z,desktop-file-utils flac gtk3 id3lib libid3tag libvorbis opusfile speex taglib wavpack,intltool itstool,,
988,ebook-tools,0.2.2,2017-03-13T18:32:32.109Z,convertlit libxml2 libzip,cmake pkgconfig,,
989,ebtables,2.0.10_4,2016-04-20T13:17:36.628Z,bash iptables perl,,,
990,ecasound,2.9.1,2018-02-06T17:10:52.648Z,audiofile liblo>=0.28 lilv,python2 ruby,,"faac: AAC encoding faad2: AAC decoding lame: MP3 encoding libmikmod: tracker module mpg123: MP3 decoding python2: ecamonitor, ECI API ruby: ECI API timidity++: MIDI file input vorbis-tools: Ogg Vorbis decoding/encoding"
991,ecb,2.40.1pre,2016-03-04T11:59:36.273Z,emacs,git,,
992,echoping,6.0.2,2017-04-24T12:25:47.571Z,libidn libldap popt,,,
993,ecl,16.1.3,2017-07-12T17:38:30.000Z,bash gmp,texinfo,,
994,ecl-16.1.2,16.1.2,2017-07-22T12:34:20.338Z,bash gmp,texinfo,,
995,eclib,20171219,2018-04-09T21:37:45.764Z,flint pari,,,
996,eclipse-common,4.7.3.a,2018-04-15T14:15:14.708Z,java-environment>=8 unzip webkit2gtk,python3,,
997,eclipse-cpp,4.7.3.a,2018-04-15T14:15:14.810Z,eclipse-common,python3,,
998,eclipse-ecj,4.6.1,2016-10-26T17:32:30.975Z,java-runtime,apache-ant java-environment,,
999,eclipse-java,4.7.3.a,2018-04-15T14:15:14.444Z,eclipse-common,python3,,
1000,eclipse-javascript,4.7.3.a,2018-04-15T14:15:14.520Z,eclipse-common,python3,,
1001,eclipse-jee,4.7.3.a,2018-04-15T14:15:14.177Z,eclipse-common,python3,,
1002,eclipse-php,4.7.3.a,2018-04-15T14:15:14.599Z,eclipse-common,python3,,
1003,ecm-tools,1.03,2015-01-16T13:43:03.622Z,glibc,git,,
1004,ecryptfs-utils,111,2017-04-24T12:25:52.523Z,nss pam,gettext intltool python2 swig,,python2: for python module
1005,ed,1.14.2,2017-07-13T18:45:34.379Z,glibc sh,,,
1006,edac-utils,0.18,2015-01-29T15:06:11.544Z,dmidecode perl sysfsutils,git,,
1007,edbrowse,3.7.2,2018-04-04T07:10:53.114Z,curl duktape pcre tidy,,,
1008,editorconfig-core-c,0.12.2,2018-03-15T22:57:48.396Z,pcre,cmake doxygen,,
1009,efibootmgr,15,2017-03-17T08:06:53.295Z,efivar pciutils zlib,git,,
1010,efitools,1.7.0.5.g0649468,2017-04-24T12:10:24.109Z,openssl,git gnu-efi-libs help2man perl-file-slurp sbsigntools,,
1011,efivar,34,2018-03-12T10:29:12.297Z,popt,git,,
1012,efl,1.20.7,2018-03-07T07:32:32.289Z,avahi bullet curl fribidi gst-plugins-base libinput libjpeg-turbo libpulse libraw librsvg libspectre libwebp libxcomposite libxcursor libxinerama libxkbcommon libxp libxrandr libxss luajit lz4 mesa openjpeg shared-mime-info wayland wayland-protocols,doxygen ghostscript imagemagick python texlive-core,,libreoffice: thumbnailing for DOC/PPT/XLS files python2: einabench-cmp
1013,efl-docs,1.20.7,2018-03-07T07:32:31.809Z,,doxygen ghostscript imagemagick python texlive-core,,libreoffice: thumbnailing for DOC/PPT/XLS files python2: einabench-cmp
1014,eigen,3.3.4,2017-06-15T11:19:23.135Z,,boost cmake fftw freeglut gcc-fortran pkg-config qt4 suitesparse,,qt4: for example programs
1015,ejabberd,18.04,2018-04-26T11:14:36.626Z,erlang-nox erlang-unixodbc expat gd iproute2 libyaml openssl pam sqlite zlib,git hevea rebar texlive-bin texlive-core texlive-latexextra,,
1016,ekiga,4.0.1,2018-01-06T19:39:34.408Z,avahi boost-libs gconf gnome-icon-theme gtk2 libnotify libxv opal,boost evolution-data-server gnome-doc-utils intltool python,,evolution-data-server: Evolution integration
1017,elasticsearch,6.2.4,2018-04-19T11:58:37.834Z,java-runtime-headless=8 systemd,,,
1018,electron,1.8.4,2018-03-17T11:11:26.160Z,c-ares ffmpeg gtk3 http-parser libevent libxss minizip nss re2 snappy,clang gconf git gperf gtk2 harfbuzz-icu jsoncpp libexif libgnome-keyring libnotify llvm ninja npm pciutils python2 wget yasm,,"gvfs: file deletion support (gvfs-trash) kdebase-runtime: file deletion support (kioclient) kde-cli-tools: file deletion support (kioclient5) trash-cli: file deletion support (trash-put) xdg-utils: open URLs with desktop's default (xdg-email, xdg-open)"
1019,electrum,3.1.3,2018-04-19T08:21:14.068Z,python-dnspython python-ecdsa python-jsonrpclib-pelix python-pbkdf2 python-protobuf python-pyaes python-pycryptodomex python-pyqt5 python-pysocks python-qrcode python-requests python-websocket-client,python-setuptools,,python-btchip: BTChip hardware wallet support python-matplotlib: plot transaction history in graphical mode zbar: QR code reading support
1020,elementary-icon-theme,4.3.1,2017-11-02T15:44:21.202Z,hicolor-icon-theme,cmake,,
1021,elfkickers,3.1,2017-01-20T23:46:04.884Z,,,,
1022,elfutils,0.170,2017-09-23T14:17:30.437Z,libelf=0.170-1,,,
1023,elinks,0.13,2017-07-12T03:09:32.395Z,bzip2 expat>=2.0 gc gpm>=1.20.4 libidn lua51 openssl tre zlib,git,,
1024,elisa,0.1.1,2018-04-17T10:33:43.171Z,baloo kcmutils qt5-graphicaleffects qt5-quickcontrols qt5-quickcontrols2,extra-cmake-modules kdoctools,,
1025,elixir,1.6.4,2018-03-24T21:16:01.641Z,erlang-nox,,git,
1026,elyxer,1.2.5,2014-07-03T16:38:11.267Z,python2,,,
1027,emacs,25.3,2018-02-09T08:31:59.990Z,alsa-lib desktop-file-utils gconf giflib gnutls gpm gtk3 hicolor-icon-theme libmagick6 libotf librsvg libxpm m17n-lib,,,
1028,emacs-apel,10.8.20121102,2014-04-22T16:32:17.050Z,emacs,git,,
1029,emacs-haskell-mode,13.20,2016-05-17T15:49:20.282Z,,emacs,,
1030,emacs-lua-mode,20151025,2016-01-29T20:44:48.569Z,,emacs,,
1031,emacs-muse,3.20,2016-04-27T23:25:17.526Z,emacs,,,
1032,emacs-nox,25.3,2017-09-12T19:50:20.800Z,dbus glib2 gnutls libxml2 ncurses perl,,,
1033,emacs-php-mode,1.19.0,2018-03-28T11:58:37.584Z,emacs,,,
1034,emacs-pkgbuild-mode,0.14,2015-10-24T02:52:17.836Z,emacs,,,
1035,emacs-python-mode,6.2.3,2018-01-05T16:41:09.510Z,emacs,,,
1036,embree,2.17.4,2018-03-28T22:32:14.371Z,intel-tbb,cmake freeglut ispc libxmu openexr,,
1037,emby-server,3.4.0.0,2018-05-05T20:00:15.700Z,dotnet-runtime ffmpeg skia-sharp58 sqlite,,,
1038,emelfm2,0.9.1,2014-02-27T17:52:21.649Z,gtk2,,,
1039,emms,4.4,2018-01-12T11:14:06.379Z,emacs taglib,git,,
1040,emovix,0.9.0,2018-01-09T07:31:59.400Z,cdrkit perl,,,
1041,empathy,3.25.90+34+g78f4d4fda,2018-01-25T20:56:40.420Z,cheese clutter-gst clutter-gtk folks gcr geoclue2 geocode-glib iso-codes libcanberra libchamplain libgudev libpulse telepathy-farstream telepathy-glib telepathy-logger telepathy-mission-control webkit2gtk,docbook-xsl git gnome-common intltool itstool python,,telepathy-gabble: XMPP/Jabber support telepathy-haze: libpurple support telepathy-idle: IRC support telepathy-salut: Link-local XMPP support
1042,emscripten,1.37.36,2018-03-28T21:47:10.353Z,nodejs python python2,cmake libxml2,,java-environment: for using clojure ruby: for using websockify addon
1043,enblend-enfuse,4.2,2017-11-26T16:28:50.882Z,gsl lcms2 vigra,boost glu help2man libgl libjpeg libpng libtiff openexr texlive-bin,,
1044,enca,1.19,2018-04-01T10:07:19.312Z,recode,,,
1045,encfs,1.9.4,2018-01-29T20:17:47.315Z,fuse2 openssl tinyxml2,cmake,,
1046,enchant,2.2.3,2018-02-22T09:43:29.159Z,aspell glib2 hspell hunspell libvoikko,git,,
1047,enet,1.3.13,2015-05-04T17:11:13.039Z,glibc,,,
1048,engrampa,1.20.0,2018-02-10T17:33:07.184Z,gtk3 gzip libarchive tar unzip zip,caja intltool itstool python,,caja: file archiver extension p7zip: 7Z and ARJ archive support unace: ACE archive support unrar: RAR archive support
1049,enigma,1.04,2015-09-17T21:02:35.270Z,ncurses,,,
1050,enjarify,1.0.3,2016-12-21T12:05:59.112Z,python,git,,
1051,enlightenment,0.22.3,2018-03-28T08:57:15.268Z,bluez-libs desktop-file-utils efl hicolor-icon-theme mesa pam pixman ttf-font udisks2 xcb-util-keysyms,xorg-server-xwayland,,acpid: power events on laptop lid close connman: network module geoip-database: geolocation module xorg-server-xwayland: xwayland support
1052,enlightenment16,1.0.18,2017-05-13T07:21:33.485Z,imlib2 libpulse libxcomposite libxinerama libxrandr pango perl,,,
1053,enscript,1.6.6,2016-05-11T18:45:36.881Z,glibc,,,
1054,eog,3.28.1,2018-04-09T20:54:18.429Z,dconf exempi gnome-desktop lcms2 libexif libpeas librsvg,git gnome-common gobject-introspection gtk-doc intltool itstool meson,,eog-plugins: Additional features
1055,eog-plugins,3.26.2,2018-02-12T23:36:27.463Z,eog libchamplain libgdata python,git gobject-introspection intltool,,
1056,eolie,0.9.31,2018-04-29T08:06:03.123Z,gtkspell3 python-cairo python-dateutil python-gobject webkit2gtk,git gobject-introspection meson,,python-beautifulsoup4: Import html bookmarks python-crypto: Firefox Sync support python-fxa: Firefox Sync support python-pyopenssl: Show SSL certificates python-requests-hawk: Firefox Sync support
1057,eom,1.20.0,2018-02-10T17:33:07.483Z,dbus-glib exempi gobject-introspection-runtime lcms2 libexif libjpeg-turbo libpeas mate-desktop,gobject-introspection intltool itstool,,
1058,epdfview,0.1.8,2016-04-28T22:00:24.179Z,desktop-file-utils gtk2 hicolor-icon-theme poppler-glib,pkgconfig,,
1059,epic4,2.10.6,2017-04-30T11:22:47.692Z,ncurses openssl perl tcl,,,
1060,epiphany,3.28.1.1,2018-04-19T18:07:55.870Z,gcr icu webkit2gtk,appstream-glib docbook-xml git gobject-introspection itstool lsb-release meson startup-notification yelp-tools,,
1061,epplet-base,0.14,2013-10-24T13:16:06.846Z,imlib2 libcdaudio libgl,mesa,,
1062,epydoc,3.0.1,2017-09-04T10:39:05.173Z,docutils python2,,,graphviz: needed for graph generation texlive-bin: needed for PDF conversion tk: needed for epydocgui
1063,eric,18.04,2018-04-06T06:31:59.857Z,eric-common python-qscintilla-qt5 qt5-svg qt5-webkit,,,qt5-webengine: alternative browser backend
1064,eric-common,18.04,2018-04-06T06:31:59.820Z,,,,
1065,eric-i18n-de,18.04,2018-04-06T06:31:59.840Z,eric-common>=18.04,eric-common>=18.04,,
1066,eric-i18n-en,18.04,2018-04-06T06:31:59.781Z,eric-common>=18.04,eric-common>=18.04,,
1067,eric-i18n-es,18.04,2018-04-06T06:32:00.649Z,eric-common>=18.04,eric-common>=18.04,,
1068,eric-i18n-ru,18.04,2018-04-06T06:32:00.668Z,eric-common>=18.04,eric-common>=18.04,,
1069,erlang,20.3.2,2018-03-22T19:36:24.214Z,glu ncurses openssl wxgtk,fop git glu java-environment libxslt lksctp-tools mesa perl unixodbc wxgtk,,erlang-unixodbc: database support java-environment: for Java support lksctp-tools: for SCTP support
1070,erlang-cl,1.2.1,2017-05-14T19:33:04.734Z,bash erlang opencl-icd-loader,git opencl-headers rebar,,
1071,erlang-docs,20.3,2018-03-16T11:27:18.227Z,,,,
1072,erlang-nox,20.3.2,2018-03-24T13:27:08.063Z,ncurses openssl,fop git java-environment libxslt lksctp-tools unixodbc,,erlang-unixodbc: database support java-environment: for Java support lksctp-tools: for SCTP support
1073,erlang-sdl,1.3.1,2017-05-14T19:33:04.691Z,erlang glu libgl sdl,git mesa-libgl rebar,,
1074,erlang-unixodbc,20.3.2,2018-03-22T19:36:24.599Z,erlang-nox unixodbc,fop git glu java-environment libxslt lksctp-tools mesa perl unixodbc wxgtk,,
1075,eslint,4.19.1,2018-03-22T09:18:43.441Z,acorn nodejs,npm,,
1076,esmska,1.9,2016-04-29T11:39:42.194Z,desktop-file-utils java-runtime,apache-ant,,
1077,esmtp,1.2,2013-09-14T18:31:43.177Z,libesmtp openssl,,,liblockfile: for esmtp-wrapper script procmail: for local mail delivery
1078,espeak,1.48.04,2017-02-02T00:15:41.614Z,libpulse portaudio,,,
1079,espeakup,0.80,2016-10-12T20:41:06.130Z,espeak speakup-utils,,,
1080,esptool,2.3.1,2018-03-31T19:21:42.030Z,python-pyserial,git,,
1081,etckeeper,1.18.7,2017-06-08T18:51:14.044Z,git,bzr mercurial,,bzr: use bazaar for version control mercurial: use mercurial for version control
1082,etherape,0.9.15,2017-09-11T18:51:29.528Z,libgnomecanvas libpcap popt,gnome-doc-utils rarian,,
1083,etherwall,2.2.1,2018-05-03T01:59:59.520Z,geth hidapi libsystemd protobuf qt5-declarative qt5-graphicaleffects qt5-quickcontrols qt5-websockets,,,
1084,ethtool,4.16,2018-04-17T20:52:05.147Z,glibc,,,
1085,etl,1.2.1,2017-10-06T11:23:00.807Z,,,,
1086,ettercap,0.8.2,2017-09-18T17:45:21.280Z,curl ethtool libltdl libnet libpcap openssl pcre,cmake ghostscript gtk2 libltdl libnet libpcap,,
1087,ettercap-gtk,0.8.2,2017-09-18T17:45:21.223Z,curl ethtool gtk2 libltdl libnet libpcap openssl pcre,cmake ghostscript gtk2 libltdl libnet libpcap,,polkit: to run ettercap directly from menu
1088,evemu,2.7.0,2018-01-24T14:47:56.278Z,libevdev,asciidoc python python2 xmlto,,python: Python 3 bindings python2: Python 2 bindings
1089,eventviews,18.04.0,2018-04-21T13:54:44.854Z,calendarsupport kdiagram,boost extra-cmake-modules qt5-tools,,
1090,evince,3.28.2,2018-04-10T09:32:04.103Z,dconf djvulibre gnome-desktop gsettings-desktop-schemas gsfonts gst-plugins-base-libs gtk3 libarchive libgxps libsecret libspectre poppler-glib t1lib,docbook-xsl git gnome-common gobject-introspection gtk-doc intltool itstool libnautilus-extension python texlive-bin,,gvfs: bookmark support and session saving texlive-bin: DVI support
1091,evolution,3.28.1,2018-04-09T10:45:33.976Z,dconf evolution-data-server gnome-autoar gnome-desktop gtkspell3 libcanberra libcryptui libpst libytnef,bogofilter cmake docbook-xsl git gtk-doc highlight intltool itstool networkmanager ninja spamassassin yelp-tools,,evolution-bogofilter: Bogofilter spam check plugin evolution-spamassassin: Spamassassin spam check plugin highlight: text highlight plugin
1092,evolution-bogofilter,3.28.1,2018-04-09T10:45:34.533Z,bogofilter evolution=3.28.1,bogofilter cmake docbook-xsl git gtk-doc highlight intltool itstool networkmanager ninja spamassassin yelp-tools,,
1093,evolution-data-server,3.28.1,2018-04-09T10:45:34.418Z,db gnome-online-accounts krb5 libgdata libgweather libical libphonenumber nss,boost cmake git gobject-introspection gperf gtk-doc intltool ninja vala,,
1094,evolution-ews,3.28.1,2018-04-09T10:45:34.570Z,evolution libmspack,cmake git intltool ninja python,,
1095,evolution-rss,0.3.95,2018-03-24T22:45:13.102Z,evolution,intltool,,
1096,evolution-spamassassin,3.28.1,2018-04-09T10:45:34.552Z,evolution=3.28.1 spamassassin,bogofilter cmake docbook-xsl git gtk-doc highlight intltool itstool networkmanager ninja spamassassin yelp-tools,,
1097,evtest,1.33,2017-11-17T17:58:19.497Z,glibc,asciidoc xmlto,,
1098,exa,0.8.0,2017-10-02T12:45:46.444Z,libssh2 zlib,cargo cmake git rust,,
1099,exempi,2.4.5,2018-03-18T22:45:40.880Z,expat gcc-libs zlib,autoconf-archive boost git,,
1100,exfat-utils,1.2.8,2018-03-14T00:53:28.497Z,fuse2 glibc,,,
1101,exim,4.91,2018-04-28T09:25:03.825Z,gdbm libldap libnsl openssl pam pcre sqlite,,,
1102,exiv2,0.26,2017-09-17T10:08:04.072Z,expat gcc-libs zlib,cmake,,
1103,exo,0.12.0,2018-02-14T04:34:08.311Z,hicolor-icon-theme libxfce4ui perl-uri,gtk-doc intltool,,
1104,expac,8,2016-10-10T21:51:20.951Z,pacman,perl,,
1105,expat,2.2.5,2017-11-27T08:45:18.279Z,glibc,,,
1106,expect,5.45.4,2018-02-17T21:31:35.317Z,tcl,,,
1107,ext3grep,0.10.2,2015-12-10T04:50:21.897Z,,e2fsprogs patch,,
1108,ext4magic,0.3.2,2016-11-03T11:52:28.698Z,bzip2 e2fsprogs file util-linux,,,
1109,extra-cmake-modules,5.45.0,2018-04-16T07:35:44.872Z,cmake,python-requests python-sphinx qt5-tools,,
1110,extremetuxracer,0.7.4,2016-11-07T08:48:58.835Z,freetype2 glu sfml,csfml,,
1111,extundelete,0.2.4,2015-12-10T04:43:22.570Z,,e2fsprogs,,
1112,f2fs-tools,1.10.0,2018-02-03T10:38:11.721Z,util-linux,,,
1113,faac,1.29.9.2,2018-02-14T23:16:29.231Z,libmp4v2,,,
1114,faad2,2.8.8,2018-02-14T23:30:29.991Z,glibc,,,
